timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1589318122276,35,File1,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,3,0,0
1589318122312,25,File2,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,1,0,0
1589318122337,27,File3,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,3,0,0
1589318122364,26,File4,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,3,0,0
1589318122390,29,File5,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/810_log.log (Ascii)  ->,1,0,0
1589318122419,16,File6,550,"550 Failed to open file.
",FTP Users 1-1,,false,,0,0,1,1,ftp://172.17.0.2:9098/logs/000_log.log (Ascii)  ->,1,0,0
1589318122435,26,File7,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/030_log.log (Ascii)  ->,1,0,0
1589318122461,24,File8,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/230_log.log (Ascii)  ->,3,0,0
1589318122485,23,File9,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/433_log.log (Ascii)  ->,1,0,0
1589318122508,25,File0,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/250_log.log (Ascii)  ->,1,0,0
1589318122533,22,File1,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,1,0,0
1589318122555,21,File2,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,1,0,0
1589318122576,23,File3,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,1,0,0
1589318122599,22,File4,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,0,0,0
1589318122621,21,File5,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/810_log.log (Ascii)  ->,1,0,0
1589318122642,12,File6,550,"550 Failed to open file.
",FTP Users 1-1,,false,,0,0,1,1,ftp://172.17.0.2:9098/logs/000_log.log (Ascii)  ->,1,0,0
1589318122654,21,File7,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/030_log.log (Ascii)  ->,1,0,0
1589318122675,23,File8,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/230_log.log (Ascii)  ->,1,0,0
1589318122698,23,File9,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/433_log.log (Ascii)  ->,1,0,0
1589318122721,22,File0,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/250_log.log (Ascii)  ->,1,0,0
1589318122743,23,File1,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,1,0,0
1589318122771,26,File2,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,4,0,0
1589318122797,22,File3,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,1,0,0
1589318122819,22,File4,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,1,0,0
1589318122841,25,File5,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/810_log.log (Ascii)  ->,2,0,0
1589318122867,13,File6,550,"550 Failed to open file.
",FTP Users 1-1,,false,,0,0,1,1,ftp://172.17.0.2:9098/logs/000_log.log (Ascii)  ->,1,0,0
1589318122880,22,File7,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/030_log.log (Ascii)  ->,1,0,0
1589318122902,66,File8,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/230_log.log (Ascii)  ->,2,0,0
1589318122968,34,File9,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/433_log.log (Ascii)  ->,1,0,0
1589318123003,35,File0,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/250_log.log (Ascii)  ->,1,0,0
1589318123038,35,File1,200,OK,FTP Users 1-1,,true,,1048557,0,1,1,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,1,0,0
1589318123073,34,File2,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,1,0,0
1589318123093,36,File1,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,1,0,0
1589318123108,32,File3,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,0,0,0
1589318123129,23,File2,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,2,0,0
1589318123140,24,File4,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,1,0,0
1589318123153,21,File3,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,0,0,0
1589318123164,26,File5,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/810_log.log (Ascii)  ->,4,0,0
1589318123174,24,File4,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,3,0,0
1589318123190,17,File6,550,"550 Failed to open file.
",FTP Users 1-1,,false,,0,0,2,2,ftp://172.17.0.2:9098/logs/000_log.log (Ascii)  ->,4,0,0
1589318123198,21,File5,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/810_log.log (Ascii)  ->,1,0,0
1589318123207,21,File7,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/030_log.log (Ascii)  ->,0,0,0
1589318123219,15,File6,550,"550 Failed to open file.
",FTP Users 1-2,,false,,0,0,2,2,ftp://172.17.0.2:9098/logs/000_log.log (Ascii)  ->,5,0,0
1589318123234,20,File7,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/030_log.log (Ascii)  ->,1,0,0
1589318123228,27,File8,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/230_log.log (Ascii)  ->,5,0,0
1589318123254,21,File8,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/230_log.log (Ascii)  ->,1,0,0
1589318123255,22,File9,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/433_log.log (Ascii)  ->,1,0,0
1589318123277,21,File0,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/250_log.log (Ascii)  ->,1,0,0
1589318123275,26,File9,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/433_log.log (Ascii)  ->,2,0,0
1589318123302,27,File0,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/250_log.log (Ascii)  ->,0,0,0
1589318123298,32,File1,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,1,0,0
1589318123330,22,File2,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,1,0,0
1589318123329,24,File1,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/070_log.log (Ascii)  ->,2,0,0
1589318123352,20,File3,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,1,0,0
1589318123353,20,File2,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/210_log.log (Ascii)  ->,0,0,0
1589318123373,25,File3,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/410_log.log (Ascii)  ->,0,0,0
1589318123373,34,File4,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,1,0,0
1589318123398,24,File4,200,OK,FTP Users 1-2,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/610_log.log (Ascii)  ->,1,0,0
1589318123407,21,File5,200,OK,FTP Users 1-1,,true,,1048557,0,2,2,ftp://172.17.0.2:9098/logs/810_log.log (Ascii)  ->,1,0,0
1589318123428,12,File6,550,"550 Failed to open file.
",FTP Users 1-1,,false,,0,0,2,2,ftp://172.17.0.2:9098/logs/000_log.log (Ascii)  ->,1,0,0
